text,label
"Damn, the Yokai lore threads Oda is pulling for Mars are *gooood*.
In Japanese myth, the Itsumade is a demonic bird that appears in the night sky over lands plagued by famine, disease, and mass suffering. It hides in the fog and endlessly cries out, ""Itsumade... Itsumade..."" which basically translates to: ""Until when?"" or ""When will it end?"" Hence the name... That wasn't just some random freak weather that rotted Esperia's instruments and wrecked the country. That was Mars using a massive AOE.
It makes perfect sense mechanically, too. Mars’s official title is the ""Warrior God of the Environment."" Seeing him in that final panel basically confirms he was the one behind it. Tying that in with Shuri being Gunko, and the Celestial Dragon's not elevating random peasants... well, it's grim. Damn you Oda!",high_effort
"Oh wow, this fits way too perfectly!!
Now, didn't Elbaph coincidentally also suffer through a famine due to an extremely harsh winter? And didn't we see Nusjuro use ice powers against the pacifista?
It seems like we should re-examine all the possibly overlooked catastrophic natural phenomenons throughout the story, but I can't think of any others on the spot rn.",high_effort
"Well, it's long been speculated that Alabasta's lack of rain was also due to Crocodile's devil fruit powers, not just the dance powder; or the storm around Loguetown was caused by Dragons' powers.
If Mars caused the fog here that makes this more likely.",high_effort
Right there between Brook and Lueven. Alot of people seemed to have missed Mars because of the new holy knight,mid_effort
"No, I didn't notice because version I read has the two pages separated. I see him now though",mid_effort
"Oh damn, I just read it vertically as seperate pages and can confirm, he just looks like like smog. Cant even tell the eyes are eyes",mid_effort
"I definitely also did not notice him due to the two pages vertically thing, lol, even though he is obvious in retrospect",mid_effort
"Rueven also had the demon wings and horns, likely they both were mind controlled and forced to fight each other.
Rueven may have resisted being possessed because he couldn't bring himself to harm his daughter.",high_effort
"The fact Brook can be so cheery and silly most of the time after seeing this kind of horror. He had nothing, found a bro and a place to belong and watched it all be destroyed by the WG. Not to mention seeing his friend's daughter turned into demons by a demonic bird and having a fight to the death. And all of this before he moved on, joined the Rumbar Pirates and losing all of them yet again decades later.
No wonder that when the chips are down, Brook will do basically anything to help. Facing Big Mom, MVP of Whole Cake Island, backing Robin up, etc.",high_effort
"And his friend getting turned into a demon to fight his daughter, you can see the demon wings on the king’s body and took me a sec to see the horns too",mid_effort
"This chapter really implies something happened to Candelle during the visit of the CDs and it's tied to the birth of Shuri, but I get the impression that this isn't exactly similar to what happened to Ginny.
Maybe Shuri is special in some way that hasn't been revealed yet and Imu having her work as a direct subordinate isn't just because she has blue hair like Princess Lili.",high_effort
"Agreed, mostly because I find it odd that Reuven’s parents, the previous king and queen, aren’t shown or mentioned at all despite the fact it’s implied they would’ve died or abdicated around the time the Celestial Dragon visited in order for Reuven to become king soon after.
Edit: Slight correction but I just remembered that the previous king is mentioned in the previous chapter in Brook’s song as the reason his family starved to death. So it’s heavily implied that Reuven’s dad was an asshole; making it weirder that he isn’t involved in the flashback.",high_effort
I think Oda's just being super efficient with chapters here which I can appreciate. Adding more characters and detail would turn this chapter into 2,mid_effort
"Perhaps, but given that we also see during Reuven’s POV that he was being introduced to other noblewomen for the purposes of finding a wife, and in the last flashback rulers being unable to marry for love was A Whole Thing, it strikes me as strange that right after the Celestial Dragon and Candelle’s illness Reuven’s father seemingly just-so-happens to die in time for Reuven and Candelle to marry. Especially when the information we get in this chapter and the previous one suggest that Reuven’s father would’ve been a barrier against them being together.",high_effort
"Yeah of course! I think all of that could be heavily implied or yet to be revealed. The true circumstances of Gunkos birth and Candelles marriage could still be a mystery to Brooke so he was only telling the parts of the story he knows.
The foreshadowing could just be super clear to us because at this point we know what went down at God Valley and Elbaph while Brooke's contingent of the straw hats doesn't know it yet.
I wouldn't be very surprised at all if everything you've predicted is revealed",high_effort
"Definitely, it ultimately depends on where Oda decides to take things. With the number of parallels it could go in a lot of different directions.
I also saw a theory that Candelle might’ve been the previous user of Brook’s devil fruit, and that the time when she was “sick” was actually her first death before her soul returned to her body. It would certainly fit with the imagery of Candelle being the sun given Elbaf also has a ritual about the sun “dying” and then coming back. It also fits with Shuri’s heterochromia given that in some cultures it’s associated with being able to see ghosts/the underworld.",high_effort
"Darn you think Candelles died twice? That's an interesting theory. The one thing there is that I think Brook found the fruit when he was with the Rumbar pirates right? And I know theres theories about devil fruits manifesting near where their past users die. So that would be a convoluted path to getting back to Brook.
That's putting theories against theories but just a thought",high_effort
"Oda has actually never specified when Brook got his devil fruit or how. He’d eaten it before the start of his Thriller Bark flashback when he was still in the West Blue, and he knows what his powers are supposed to be, but the exact time and circumstances he got his powers between his Esperia days and the Rumbar Pirates has yet to be confirmed.
We won’t really know until we get more information, but it’s fun to think about.",high_effort
"but I get the impression that this isn't exactly similar to what happened to Ginny.
It feels closer to Magnolia situation, although I dont think it was consensual here. The quick weeding and all that appears to be them trying to keep it a secret which gave them peace for a while.
IMO the adoption of Shuri was likely due to her talent in conjunction of being from a ""clean bloodline"" (aka celestial dragon) since I bet they have a large number of children and most are abandoned or slaves themselves, that could also explain the mockery about her in God Valley.",high_effort
That’s why Luffy and Brook are friends. They don’t have the slightest clue of what is going on lol,mid_effort
One braincell gang.,low_effort
It’s the final braincell. Turuninu titurutin turinu,low_effort
Meme potential in this panel,low_effort
"Whoever that person in the last panel is, he looks badass af",low_effort
"I think Candelle falling sick and the prince rising to the throne was no coincidence. Candella was somehow impregnated or affected by celestial dragon, probably Imu in someone else's body. That's why when the princess turned 15, music went away. Then came the poisonous fog, which was primarily targeted to kill Candella, probably because they couldn't have been able to control the princess otherwise.
The goal being to create a vessel for Imu, and what better way than to make one using Imu's DNA. That's why the princess has heterochromia (2 different eye colors), a foreshadowing that she belongs to two different races.",high_effort
You leave my Lawful neutral former fleet admiral out of this,low_effort
"Nah we just saw Kong in the Rocks Flashback which is a ways off from now, he was an Admiral still and wishing he could get Elbaph into the World Government, he'd be even younger here and part of the Marines and this guy is visibly a Holy Knight",high_effort
"Too young, Shiryu's only 44 and this happened... I think 60+ years prior to current?
Possibly father, but there's a few other characters with some similar designs (Nose for one is straight up Kong's)",mid_effort
"Man, not another woman SAd by a CD. Poor Candelle.",low_effort
"Hmm, maybe.
I think it's suspicious that the poison gas seem to clear only after Candelle died and a little while later they took Shuri. The CD appear to be acting like they didn't get what they wanted.
It seems more like a 'If I can't have her, no body can' type situation. Then they took the child that, in their eyes, 'should have been theirs and renamed her.
That and Shuri's hair really does look like mix of both parents. Part long and elegant and part messy.",high_effort
"Unless there's a complete death fakeout (which I honestly think Oda doesn't have the time for any more subplot twists considering how many flashbacks he's sprinting through in a singular arc already), Candelle is truly innocent and I'm ready to throw all the ""Candelle is sus"" theories out.
What really convinced me though is the singular heart icon/emoji Candelle had when Reuven asked her to train Brook. We know Shuri spams that on Brook by now and we just saw 3 pages of Candelle trying to hammer etiquette into Brook (and not really succeeding).
The point is, even though Candelle was vague about her love interest it was in a context of talking about it to Brook (and relatively early into their trainer-trainee relationship), but that heart emoji was basically addressed to a request from Reuven himself, basically a rare ""leak"" of the etiquette she usually upholds and by inference from Shuri (who basically isn't trained in etiquette since she learns from Brook yohohohoho), can be taken to be solid proof she was indeed referring to Reuven and no one else in her vague answer to Brook on who she loves.",high_effort
I think maybe that's how the WG recruits God's Knights?. Since the gene pool of the World Nobles is full of inbred rich brats who never fought for hundreds of years it makes sense they'd look outside for powerful people. That's how Shanks was born alongside Bonney and Shuri.,high_effort
Wait what? How did I miss this?,low_effort
It’s not shown to us; it’s more blink and you’ll miss it but a Celestial Dragon shows up then Candelle is “sick” for months then Luven marries her and Shuri is born all really soon after each other. Paints a bit of a picture.,high_effort
"Bonney's mother Ginny for sure. Heavily implied the Boa sisters were. If you count Doffy, Violet was.",mid_effort
"Anyone who is a slave by the Celestial Dragons
A big part of why death is considered better than slavery for people. If they're already killing slaves unprovoked, they are torturing them in every way possible until they kill them and in every horrible possible way you could imagine that the series will obviously not show",high_effort
"oh my fucking god! how did i not understood that thats what it meant!! i really thought that CDs were demanding such luxury that it actually made the queen ""tired"" lmfao",high_effort
"Intense is a light word to describe this chapter. We see a man help build a world, face horrible challenges and loss, enter a war for his friend with a smile in the face, only for his world to come tumbling down.
Also this is the fourth mother to die in Elbaf alone",high_effort
Are you counting Loki's mother?,low_effort
"Someone probably said it, but seems like Mars getting involved could be related to inviting Gunko to the Celestial Dragons. He was the one shown giving out invitations, to York and Harald.
I think it ultimately ties to what happened to Candell, and unfortunately, she might have been SA’d. That whole part about the Celestial Dragon coming to Esperia, Candel getting sick, then suddenly getting married to Reuven and having a kid….seems like a cover up for a scandal
We also see from Garling it’s not that uncommon for CDs to have children in the lower world, kill their lower world families, then bring them to the holy land.",high_effort
"Kinda cool to think that Shuri, now 'Gunko', came to be this 'God's Steel' only because she was trained by Brook, who was trained by her mother, but incredibly tragic that he had to witness all of this and lose everything.",high_effort
I saw a theory this man with the cigarette is someone who formerly had Caesar's gas fruit and that's what has been poisoning Esperia.,mid_effort
"I think so, it can also be a devil fruit that's like a smog or something (which would explain why some die and some don't, it's not straight up poison, just that the people who are active and outside get exposed the most and have pre-existing conditions are vulnerable.",high_effort
"I was thinking that he purposely selected a gas that is less aggressively toxic for... Some reason (maybe to make it easier to disguise as a natural phenomenon).
Plus it seems like Oda has been interested in showing previous generations of people using fruits we know today. We got Ganzui and Captain John in the last flashback.",high_effort
"Maybe to push them enough to be forced to rebel, but not so far as to have all of them die.",mid_effort
"I feel like the world government wants that islands resources for some reason. So they needed to force the rebellion. But they could not just kill them all at once. My guess they didn’t want pirates to go and plunder there themselves. And take what they wanted from a dead kingdom.
As long as they were still part of the government, they had to accept the government’s aid. The government would protect them from pirates and make sure that what ever they had would not be taken.
Sadly they would also unintentionally trapping themselves when they would be attacked by the government. The shield that was protecting them would turn around and become a sword to strike them down. Great plan when you think about it.",high_effort
"Could also just be that the CDs who visited there felt like they were not treated well enough, and they used their ""powers"" to suggest the next island to coerce into sending slaves by messing with them through some calamity.",high_effort
"Could be that the gas was designed specifically to rust/destroy the instruments, and wreck their economy, and that's why it wasn't as deadly as it could've been to everyone breathing it in.",mid_effort
"Maybe its strength scales inversely with the area of effect.
Also they want slaves. You don't get that by releasing a gas that weakens everyone too severely.",mid_effort
"I'm thinking Mars did the poisoning given that he's seemingly present in the throne room in the final page and is known as the ""Warrior God of Environment""",mid_effort
Hmm! That is a good point! Saturn did a lot of science so yeah their titles probably aren't just talk.,low_effort
It’d be hard to stay in that gas form for 6 months right? Or maybe he himself doesn’t have to be like that I guess with imu giving a power boost,mid_effort
That isn’t Shiryu the guy who is one of the Blackbeard executives?,low_effort
I don't think he's old enough. I could believe it's his dad or something.,mid_effort
"This is, presumably, an unnamed knight that just shares some facial features that quite a few other characters have.
Shiryu and most of everyone else that people have mentioned are too young to be in this flashback. (and it wouldn't make sense for them to be a Knight of God either.)",high_effort
"We know the Knights of God can live for a long time, so it could easily just be Shiryu. Having a Knight of God in charge of Impel Down makes a decent amount of sense since it is THE prison for the WG, and how many hell metaphors were there. The only thing that's strange is that he wasn't vaporized by Imu for teaming up with Blackbeard if he was.
(Which means he almost certainly isn't.)",high_effort
"My hatred for the fucking World Government will never die. And those Marines. Fuck them too. They fight for slavers. Enough said.
I am glad that I was right about Candelle having nothing to do with the God's Knights. At least, I hope so.
I am sure she was targeted for being the strongest fighter in Esperia. It's clear the mist/fog was directed at weakening Esperia for an invasion.
Which is interesting, because it implies that the real reason for the invasion was not because Esperia wouldn't pay a tithe of slaves, but to create a situation where Reuven was put in a position to defy the WG. They created a casus belli.
So, little Brook was a pervert from the start. I won't say anything more about that, because I find that trope tiresome.
It is wonderful, though, how deeply affectionate the relationship between Shuri and Brook was, making this whole incident even more tragic and heartbreaking.
Speaking of which, clearly both Reuven and Shuri were Domi Reversi'd. But then why did Reversi'd Shuri kill Reversi'd Reuven? Was Reuven somehow breaking out of the control?
Not sure if the big, smoking dude is a Marine Admiral or a God's Knight. If the invasion wasn't about the refusal to pay the tithe, then was it about acquiring Shuri the whole time? Why?
And that's clearly one of the Gorosei standing behind the dead Reuven, right? What merited such immense power to be brought to topple Esperia?
I guess we'll find out. Hopefully.
Poor Brook. Goddamn, has he suffered. I hope he finally gets a win, and manages to free Shuri from Imu's control for good.
Edit: Multiple comments have pointed out the big clues Oda left that implies that a Manmayer washed up on Esperia, raped Candelle and Reuven married Candelle to protect her honour (what a guy). That's likely why the WG invaded Esperia. They wanted Shuri. Everything else was a ruse. I now feel even more strongly that Candelle was a D, and that's also why she was targeted and murdered by the killer fog.",high_effort
The Godhead of Environment at that,low_effort
"Favorite Panel: Shuri with the demon aura in her eyes at the end.
I feel like I am still processing this chapter. I knew, knew King Reuven dies in the end, and I am still not okay.
I cannot help thinking that the mist rolling around Shuri's 15th birthday was not a coincidence and that the WG was behind the instruments rotting so that they would default on their tribute, and lead to their deplorable demands.",high_effort
"Is the fog potentially tied to the permanent fog that surrounds Thriller Bark? It's also an island from the West Blue.
In timeline:
6 years until Gunko is present in the flower room, meaning that if she doesnt sign the pact and lock her physical age to 15 this year then the oldest she can be is 21
10 years until Brook and Yorki arrive at Twin Capes with Laboon
Interesting we havent seen Yorki yet at all",high_effort
"Presumably Brook will travel alone in the aftermath of Esperia's fall, until coming across/joining Yorki's crew some time in the near future. I don't think Yorki was established as bring from Esperia/the same place as Brook, was he?",high_effort
 just assumed since the entire crew was musicians they’d be from Esperia to be fair,mid_effort
Look at this fraud trying to imitate our GOAT Sir Crocodile,low_effort
"Fuck the World Government 
Prince Luevin turned out to be a pretty ride or die guy
People really thought this was Usoops arc lol😢
The new guy smoking is he a old God Knight? Or someone said Shiryu",high_effort
"This is 60 years ago, so it cannot be any older men we know. His outfit looks like the other Holy Knights, so he's probably one of them.",mid_effort
"That was kind of my first instinct on reading the panel as I sorted the timeline in my memory, too. It's pretty viable, that was only 15~20ish years later than this.
And following the usual trend, if he's a Gas-Gas Fruit user then it suits the pattern.",high_effort
"The reverie that Rocks crashed was 56 years ago, so like 5 to 6 years after this war. So it does align nicely.",mid_effort
"Probably a God's Knight. Way too far in the past to be Shiryu, but could be an ancestor or distant relation. Or no relation whatsoever lol.",mid_effort
"Brook’s my favorite Straw Hat, so I’m very happy to see more backstory for him, but I still feel bad for the Usopp fans.",mid_effort
It’s been an honor getting to 1000 with all of you,low_effort
"My journey began with chapter 524 after catching up with the anime. Nearly 12 years later and with almost double the chapter count, I am here to experience chapter 1,000 with everyone.
What a ride this has been.",mid_effort
And here’s to Oda for giving us some silver lining this year,low_effort
"Mine was around the thriller bark arc and after that arc, I stop reading until the Marineford war begun. (because back then my english comprehension is not that good).
What a ride. What a ride.",mid_effort
Luffy just casually walking past 2 emperors is beautiful.,low_effort
"Dude's no longer a rookie, he's a legend :)",low_effort
"And the 5th Emperor. He's walking among equals, and it's the other Supernovas who need to bow their heads",mid_effort
I like how Luffy immediately took command. He practically ordered Law to get the Akazaya out and Law didn't even gripe as he did it.,mid_effort
"Let's be real though, Law more or less acknowledged Luffy as his superior way back in Dressrosa. He placed his entire life's purpose in Luffy's hands out of genuine trust in Luffy's strength and comradery. He still has his own pride as a pirate and a captain, but he believes in Luffy completely. Plus Law is a tactful man; He knows that now is not the time for squabbling over chain of command.
That said, I see some squabbling coming from Kidd in the near future.",high_effort
"yess this was a lowkey amazing moment. I love how Law has accepted Luffy as miracle worker and is along for the ride, even if he does join the competitive spirit when kidd's around",high_effort
Law is about to betray Luffy and will arrest him as an agent of SWORD,low_effort
"Ehhh... maybe I got it wrong, but Kaido was confident that the punch wasn't strong enough, that's why he let it connect. That's why he was surprised",mid_effort
"After this night is over, he won't just be the 5th Emperor anymore...",low_effort
"Nope! I'm thinking one of 2 scenarios will occur:
The ""Yonko"" will officially shrink to only 3 crews (2 if the Blackbeard Pirates find the time to defeat the Red Haired Pirates)
Kid and Law will replace Big Mom and Kaido, and the ""Five Emperors"" become the ""Goko""!",high_effort
"Walking among equals!?
How the hell do you dare say that the future King of the Pirates is equal to some mere yonko!? the nerve of some people.",mid_effort
"The fact that each of Luffy's three steps has a suffix, two are shown together, than the third by itsself with Kaido and Big Mom shocked somewhat, Luffy for sure took that giant step between the emperors faster than they could see in a single bound.",high_effort
"People are contesting this but you're absolutely right. Oda knows how to panel. If it was meant to be a slow walk past them, we would have seen consistent ""step"" SFX continue along the panels that Kaido and Big Mom are talking, with postures indicating line of sight on Luffy as he moves past.",high_effort
"Instead, the panels were cut to demonstrate what was basically a flash step. We have three well defined ""steps"" - Two occurring with Luffy in front of them, and the third accentuated in the following panel with him immediately behind them, while they both still look forward.",high_effort
"It's pretty clear visual language. Luffy straight up speed blitzed them both. I know, it seems a bit odd given how he's matched up against Kaido and Big Mom in the past, respectively.",mid_effort
"But it probably shouldn't be as shocking as it is, honestly. Gear Second has put him in a high speed tier since its introduction, which we know he uses passively/reflexively these days. Couple that with the strength training of literally moving mountains in prison while cuffed in sea-prism and you have a ""Goku training in 100g on his way to Namek"" scenario.",high_effort
"The 3 ways Luffy is different are that 1. Luffy trained his muscles in the mines. 2. He learned advanced armament Haki. and 3. Unlike the last time He fought Kaido he is both calm and mentally prepared. Therefore unlike last time, he is able to use his future sight Haki to dodge Kaido's attacks.",high_effort
Hes essentially done two seasons of training before this fight. You're so right about the mentally prepared aspect. That was a big learning for him with katakuri and in the prison to get the armament perfect. He seems calm with all his movements in response to kaidous attack.,high_effort
"Thanks for the effort post, my thought exactly. No one's really rebuked it except to say ""No you're wrong"", oh and to downvote, but wtvs.",mid_effort
"I think it's just the shock of it. It seems like a huge buff from a relatively short amount of training, and it's hard to reconcile that as a reader. But the visual information is there.
As a bit of meta-analysis, for those who simply can't believe that Luffy speed blitzed two Yonkou, I think it's worth considering the fact that - even if it was relatively short within the narrative - we actually had a training arc for Luffy prior to this showdown. That's pretty much unprecedented in One Piece. The closest thing we've really had, I think, was Luffy advancing his CoO during his fight with Katakuri, and that - too - resulted in a huge amount of growth for Luffy.
In the past, when faced with an opponent Luffy couldn't beat the first time around, he would ultimately gain victory through persistence. Opponents who showed themselves to be broadly superior fighters, like Crocodile or Lucci, were surpassed not through deliberate training, but by punching them more and harder. Wano is the first time we've been given a dedicated length of chapters to genuinely explore Luffy's concerted effort to grow stronger, and so of course the weight and effect of that training was always sure to be hugely significant, far beyond what growth we've seen from him in the past where no such time was dedicated.
All that said, this doesn't necessarily mean that Luffy is significantly faster than either Kaido or Big Mom. They clearly weren't expecting him to move like that, so their guards were probably down. Now they know what he's capable of, and once they get serious, Luffy and the gang are still definitely gonna have a rough time.",high_effort
$5 says the anime does a painfully slow walk with the footstep sound effects and reactions from everyone.,low_effort
Luffy has always been described as nimble too being able to dodge well the perfect example being the katakuri fight as it's the most recent too. This makes complete sense as big mom and kaido too also seem more like tanks with high power but low speed. Plus as you say Gear 2 gives him a good boost.,high_effort
"ahaha I love that Goku reference because it's so on point ! Plus as you've said this is the real deal, all his training will be shown plus some extra moves as we've seen already, maybe this is a good scenario where Luffy is fighting and evolve his style until awakening much like he did with Observation Haki with Katakuri.",high_effort
same scene as Goku arriving namek,low_effort
Why are people contesting this? It's so obvious it's intended to show he just dashed in.,low_effort
"For a split second, i was thinking he was doing a Brook-style delayed attack when i saw him walk by. lmao",mid_effort
That scene was so simple but it brought a tear to my eye. Luffy has come a long way in 1000 chapters,mid_effort
"Marco really just threw Zoro into the stratosphere whilst simultaneously not giving a fuck about King and Queen.
Boy do I love him",mid_effort
"I love how Law had to use his fruit, Luffy fought and Kidd and Killer prepared, meanwhile Zoro just gets thrown in the dumbest way possible by the coolest bird guy ever. Gotta love Marco!",high_effort
Ofc because it would take another 1000 chapters for Zoro to find his way up,mid_effort
"he was casually choking both of them while throwing zoro to the roof, I guess there is a reason the world goverment considered Marco a candidate for the yonko seat after marineford. The dude might be the only character that is above 1st yonko commanders and a little lower than actual yonkos",high_effort
"I am happy to be born in the age of globalization and internet. Sitting alone in my room and still be able to hype and discuss my favourite manga with thousands of people all around the world. 2020 was not easy, but knowing that every 1-2 weeks a new chapter awaits, really made me happy and kept me going. Let's all try to live a healthy and happy life, so that all of us can witness the end of One Piece. Thanks to Oda, I am happy to be alive.",high_effort
"happy to have you here adding +1 to the hype, friend.",low_effort
"That supernova vs yonko panel was so godly!!
A chapter 1000 centered around Luffy, with lots of flashback to remind us of the previous stories and a glimpse of the future with the new generation coming forward. Perfect!",high_effort
"Law so badass sitting on that rock!
And Luffy looking more and more like Roger with that coat!!!",mid_effort
"Law got to have the best pose award!
Also, everybody been killing themselves to get to the roof, and your boy Law just had to say room.
Luffy really needs to keep that coat forever!",high_effort
It feels like the chapter 1 of a new era,low_effort
Holy shit. I think Big Mom and Kaido got the biggest Roger flashbacks at that last panel.,mid_effort
"Big Mom should be spooked since just a few weeks ago Luffy couldn't even touch her, now he has haki that can hurt Kaido.",mid_effort
Let's go God Valley flashback!,low_effort
"I’d be very surprised if we don’t get a Kaido flashback before this arc is over. But at the same time, Oda doesn’t always do them.
Doflamingo, Big Mom, and Arlong have detailed backstories but villains like Caesar, Gecko Moria and Crocodile don’t.",high_effort
"Bigest garp flashback, as in, garp joinning Roger and beating them punch in the face",mid_effort
Nothing says one piece like a giant bird on fire doing a chokehold on two dinosaurs,mid_effort
Pineapple bird choking one cyborg dinosaur and one in a leather suit!,low_effort
King: “jokes on you Marco I’m into that shit!”,low_effort
Damn in Portuguese it is translated as Red Rock instead,low_effort
"I'm curious if Oda intended it as a pun, considering he trained in the Mines in order to develop the attack.",mid_effort
"We are back on track about what One Piece was about at first!
Oda wanted the story to be Luffy against the Emperors at first, but then he created the warlords and extended the story for hundreds of chapters because of it.",high_effort
Chapter 1001 is almost certainly opening with Kid bickering with Luffy about that proclamation. Lol.,mid_effort
"WAIT A SECOND.
in that scene, Ace told Yamato what Luffy told Sabo and him in their childhood flashback, just like how it happened back then, Oda didn't show us what Luffy said but I always imagined that Luffy simply said ""I wanna become the pirate King""
BUT THEN YAMATO SAYS THAT THOSE WORD WERE SAID BY ROGER AS WELL
Roger only found out in the paper that he was declared by the people ""pirate king""
Roger couldn't say ""I wanna be a pirate king""
so this is HUGE, IT IS MASSIVE
Luffy has an objective that it hasn't been revealed yet and it was Roger's dream as well
what if... what if Luffy dreams to achieve the One Piece without even knowing that it's the One Piece? this is why Oda isn't telling us, it's not time for this information, we are too early
I think Luffy's dream, Roger's dream and the nature of the One Piece is to unite the seas, the One Piece are the 4 seas and the new world and the grand line that become One, where everyone is free to go whenever they want. it's an impossible dream and this is why Ace and Sabo WOULD laugh at them. or maybe I'm just having a fever dream and shouting nonsense. I'm so hyped.oh god.
and that giant red hawk? oh my god.",high_effort
"Just some sources to corroborate what you're saying:
Chapter 585 page 12: Luffy says ""I want to be..."" and Sabo + Ace both laugh. At the time, I assumed he said he wanted to be pirate king.
Chapter 966 page 10: Roger says ""That's right!! And then I'll be..."" and Oden/Whitebeard respond in the same way as Ace/Sabo. There is clearly meant to be a parallel there.
Chapter 968 page 2: Roger says ""King of the pirates has a nice ring to it"" which when this chapter came out, many took to mean that this wasn't the goal he stated in 966, it's just a name someone else came up with that he liked.
Chapter 506 page 17: Shanks says: ""there's a kid saying the exact same thing as captain Roger! The very same words the captain said!""",high_effort
"As soon as I saw the title, I was like, ""of course it's called that. Why would I think it could be anything else."" Soooo amazing a chapter.",mid_effort
LUFFY walking past KAIDO and big mom is my second favorite moment this arc right behind “he laughed” Amazing! Goda has done it again,mid_effort
"That Kinemom panel definitely giving Nami/Vivi/Robin/Law vibes
This is definitely the final battle. The worst gen are probably going to get push a round a bit and pull of a miracle win",high_effort
"I really like that Kinemon panel. He's been with the crew for so long, been thru so much. I hope he makes it all the way thru to see Momo be the next ruler of Wano.",high_effort
"And here we all thought the act is gonna somehow end in a tragedy, but now tbh, I can't see it anymore, this is most definitely the final confrontation, 2 yonkos vs 5 supernovae!",high_effort
Gear 5 goes so hard it went back to looney tunes levels of violence,low_effort
When Luffy was swinging Kaido around it reminded me of Bam-bam from the flint stones. Bam bam bam bam bam!,mid_effort
Golden rule of fiction: Toon force >>> Literally anything else,low_effort
 was thinking Hulk vs Loki in Avengers lol,low_effort
I was thinking Disney’s Hercules when he’s a baby throwing around the snakes,low_effort
